event_1,event_2,event_3,event_4,event_5,time
0.005259231533432169,0.02808442713726118,0.033853008740647166,0.014617181310089836,0.03774869340825087,1.3064709806537693e-05
0.005259012149238227,0.028083276509128282,0.033851520702559534,0.014616347570145556,0.03774710277340245,1.3080720480320214e-05
0.005258792773824968,0.028082125927040194,0.033850032724015065,0.014615513863567162,0.0377455122022013,1.3096731154102736e-05
0.005258573407192036,0.02808097539099508,0.03384854480501136,0.014614680190353304,0.03774392169464488,1.3112741827885257e-05
0.005258354049339081,0.0280798249009911,0.03384705694554605,0.014613846550502662,0.037742331250730655,1.312875250166778e-05
0.005258134700265748,0.028078674457026404,0.033845569145616754,0.014613012944013893,0.03774074087045605,1.3144763175450302e-05
0.005257915359971692,0.028077524059099152,0.03384408140522109,0.014612179370885662,0.037739150553818546,1.3160773849232823e-05
0.005257696028456557,0.02807637370720751,0.033842593724356676,0.014611345831116637,0.03773756030081559,1.3176784523015345e-05
0.005257476705719994,0.02807522340134963,0.033841106103021115,0.014610512324705486,0.037735970111444625,1.3192795196797866e-05
0.0052572573917616505,0.02807407314152367,0.03383961854121205,0.014609678851650869,0.037734379985703115,1.3208805870580389e-05
0.005257038086581175,0.028072922927727787,0.033838131038927105,0.01460884541195145,0.037732789923588514,1.322481654436291e-05
0.005256818790178216,0.02807177275996014,0.033836643596163875,0.014608012005605894,0.037731199925098276,1.3240827218145432e-05
0.005256599502552424,0.028070622638218894,0.033835156212919985,0.014607178632612877,0.037729609990229875,1.3256837891927953e-05
0.005256380223703445,0.028069472562502206,0.03383366888919306,0.01460634529297105,0.03772802011898072,1.3272848565710475e-05
0.00525616095363093,0.028068322532808217,0.03383218162498071,0.014605511986679089,0.03772643031134831,1.3288859239492996e-05
0.0052559416923345275,0.028067172549135117,0.03383069442028056,0.014604678713735655,0.03772484056733008,1.3304869913275519e-05
0.005255722439813884,0.02806602261148104,0.03382920727509023,0.014603845474139418,0.0377232508869235,1.332088058705804e-05
0.0052555031960686525,0.02806487271984415,0.03382772018940734,0.014603012267889038,0.037721661270126,1.3336891260840562e-05
0.005255283961098477,0.028063722874222614,0.03382623316322951,0.014602179094983183,0.037720071716935054,1.3352901934623083e-05
0.00525506473490301,0.028062573074614586,0.03382474619655436,0.014601345955420512,0.03771848222734812,1.3368912608405605e-05
0.0052548455174818995,0.02806142332101822,0.0338232592893795,0.014600512849199707,0.037716892801362645,1.3384923282188126e-05
0.005254626308834793,0.028060273613431684,0.03382177244170257,0.01459967977631942,0.0377153034389761,1.3400933955970648e-05
0.005254407108961338,0.02805912395185313,0.033820285653521166,0.014598846736778318,0.03771371414018591,1.341694462975317e-05
0.005254187917861188,0.028057974336280718,0.03381879892483292,0.014598013730575076,0.037712124904989555,1.3432955303535692e-05
0.005253968735533987,0.028056824766712625,0.03381731225563545,0.014597180757708354,0.03771053573338448,1.3448965977318213e-05
0.0052537495619793895,0.028055675243146977,0.03381582564592639,0.014596347818176824,0.03770894662536816,1.3464976651100735e-05
0.005253530397197039,0.02805452576558196,0.03381433909570334,0.014595514911979135,0.037707357580938045,1.3480987324883256e-05
0.005253311241186586,0.028053376334015733,0.03381285260496393,0.01459468203911397,0.03770576860009156,1.3496997998665778e-05
0.005253092093947681,0.028052226948446442,0.033811366173705774,0.01459384919957999,0.03770417968282619,1.3513008672448299e-05
0.0052528729554799725,0.02805107760887225,0.033809879801926505,0.014593016393375865,0.03770259082913941,1.3529019346230822e-05
0.005252653825783108,0.02804992831529131,0.03380839348962373,0.014592183620500257,0.03770100203902863,1.3545030020013344e-05
0.005252434704856737,0.028048779067701812,0.03380690723679508,0.01459135088095183,0.03769941331249135,1.3561040693795865e-05
0.005252215592700509,0.028047629866101875,0.033805421043438165,0.014590518174729254,0.03769782464952501,1.3577051367578387e-05
0.005251996489314073,0.028046480710489683,0.03380393490955063,0.0145896855018312,0.037696236050127056,1.3593062041360908e-05
0.005251777394697076,0.028045331600863404,0.03380244883513006,0.01458885286225632,0.037694647514294966,1.360907271514343e-05
0.00525155830884917,0.028044182537221185,0.0338009628201741,0.014588020256003299,0.03769305904202617,1.3625083388925952e-05
0.005251339231770002,0.02804303351956118,0.03379947686468037,0.014587187683070792,0.03769147063331815,1.3641094062708474e-05
0.005251120163459223,0.028041884547881563,0.03379799096864648,0.014586355143457465,0.03768988228816835,1.3657104736490995e-05
0.005250901103916481,0.028040735622180485,0.03379650513207006,0.014585522637161995,0.03768829400657424,1.3673115410273517e-05
0.005250682053141424,0.028039586742456116,0.033795019354948726,0.014584690164183043,0.03768670578853326,1.3689126084056038e-05
0.005250463011133703,0.02803843790870661,0.03379353363728012,0.014583857724519271,0.03768511763404289,1.370513675783856e-05
0.005250243977892967,0.028037289120930124,0.03379204797906183,0.014583025318169355,0.03768352954310057,1.3721147431621081e-05
0.005250024953418864,0.028036140379124826,0.033790562380291496,0.014582192945131954,0.03768194151570377,1.3737158105403604e-05
0.005249805937711041,0.028034991683288865,0.03378907684096675,0.01458136060540574,0.037680353551849934,1.3753168779186125e-05
0.005249586930769152,0.028033843033420422,0.033787591361085195,0.01458052829898938,0.03767876565153654,1.3769179452968647e-05
0.005249367932592844,0.028032694429517637,0.03378610594064447,0.014579696025881534,0.03767717781476102,1.3785190126751168e-05
0.005249148943181765,0.028031545871578696,0.03378462057964218,0.014578863786080884,0.03767559004152086,1.380120080053369e-05
0.0052489299625355645,0.028030397359601732,0.03378313527807596,0.014578031579586082,0.0376740023318135,1.3817211474316211e-05
0.005248710990653895,0.028029248893584914,0.03378165003594343,0.014577199406395801,0.037672414685636396,1.3833222148098734e-05
0.0052484920275364015,0.02802810047352642,0.03378016485324221,0.01457636726650871,0.03767082710298702,1.3849232821881255e-05
0.005248273073182734,0.028026952099424397,0.03377867972996991,0.014575535159923476,0.03766923958386283,1.3865243495663777e-05
0.0052480541275925436,0.028025803771277016,0.03377719466612418,0.014574703086638765,0.037667652128261286,1.3881254169446298e-05
0.005247835190765477,0.028024655489082412,0.033775709661702624,0.014573871046653248,0.03766606473617982,1.389726484322882e-05
0.005247616262701186,0.028023507252838777,0.03377422471670287,0.01457303903996559,0.03766447740761593,1.3913275517011341e-05
0.005247397343399321,0.028022359062544258,0.033772739831122535,0.014572207066574456,0.03766289014256704,1.3929286190793864e-05
0.0052471784328595285,0.02802121091819702,0.033771255004959255,0.014571375126478518,0.037661302941030636,1.3945296864576386e-05
0.005246959531081456,0.028020062819795227,0.03376977023821064,0.01457054321967644,0.03765971580300417,1.3961307538358907e-05
0.005246740638064758,0.028018914767337037,0.033768285530874326,0.014569711346166891,0.0376581287284851,1.397731821214143e-05
0.00524652175380908,0.02801776676082061,0.033766800882947916,0.014568879505948547,0.03765654171747089,1.399332888592395e-05
0.005246302878314072,0.02801661880024411,0.03376531629442906,0.014568047699020063,0.03765495476995898,1.4009339559706473e-05
0.005246084011579385,0.028015470885605707,0.03376383176531536,0.014567215925380112,0.03765336788594685,1.4025350233488994e-05
0.005245865153604666,0.02801432301690356,0.03376234729560444,0.014566384185027367,0.03765178106543197,1.4041360907271516e-05
0.005245646304389569,0.028013175194135823,0.033760862885293945,0.014565552477960488,0.03765019430841177,1.4057371581054037e-05
0.005245427463933737,0.02801202741730066,0.03375937853438148,0.014564720804178146,0.03764860761488374,1.407338225483656e-05
0.005245208632236824,0.02801087968639623,0.03375789424286467,0.014563889163679015,0.0376470209848453,1.408939292861908e-05
0.005244989809298478,0.028009732001420713,0.03375641001074114,0.01456305755646175,0.03764543441829396,1.4105403602401603e-05
0.005244770995118348,0.028008584362372253,0.03375492583800853,0.014562225982525037,0.037643847915227145,1.4121414276184123e-05
0.005244552189696083,0.028007436769249026,0.03375344172466444,0.01456139444186753,0.03764226147564233,1.4137424949966646e-05
0.005244333393031336,0.028006289222049178,0.0337519576707065,0.014560562934487903,0.03764067509953697,1.4153435623749167e-05
0.005244114605123752,0.028005141720770885,0.033750473676132355,0.014559731460384823,0.03763908878690852,1.416944629753169e-05
0.005243895825972983,0.028003994265412314,0.03374898974093961,0.01455890001955696,0.037637502537754455,1.418545697131421e-05
0.0052436770555786775,0.02800284685597161,0.03374750586512589,0.014558068612002983,0.037635916352072224,1.4201467645096733e-05
0.005243458293940488,0.02800169949244695,0.03374602204868882,0.014557237237721555,0.037634330229859306,1.4217478318879253e-05
0.005243239541058058,0.028000552174836494,0.03374453829162603,0.014556405896711354,0.03763274417111313,1.4233488992661776e-05
0.005243020796931042,0.02799940490313841,0.03374305459393515,0.014555574588971044,0.037631158175831195,1.4249499666444297e-05
0.005242802061559091,0.027998257677350848,0.03374157095561379,0.014554743314499288,0.03762957224401094,1.426551034022682e-05
0.005242583334941848,0.027997110497471975,0.03374008737665959,0.014553912073294768,0.03762798637564982,1.428152101400934e-05
0.005242364617078968,0.027995963363499965,0.03373860385707016,0.014553080865356137,0.03762640057074531,1.4297531687791862e-05
